"level";"id";"parent_id";"object_id";"object_type";"query_status";"query_time";"query_type";"created_time";"type";"comments.summary.total_count";"shares.count";"reactions.summary.total_count";"like.summary.total_count";"love.summary.total_count";"haha.summary.total_count";"wow.summary.total_count";"sad.summary.total_count";"angry.summary.total_count";"message"
"1";"164";"1";"210175192404846_3032593786829625";"data";"fetched (200)";"2020-07-23 18:36:05.786496";"Facebook:/<page-id>/posts";"2020-06-14T13:19:52+0000";"photo";"789";"1009";"913";"874";"35";"3";"0";"0";"1";"ӨСӨЛТИЙГ ДЭМЖСЭН_ХӨГЖЛИЙН БАГ 🇲🇳🇲🇳🇲🇳  ӨСӨЛТИЙГ ӨРХ БҮРД ХҮРГЭНЭ 👏👏👏"
"1";"165";"1";"210175192404846_3032378613517809";"data";"fetched (200)";"2020-07-23 18:36:05.786496";"Facebook:/<page-id>/posts";"2020-06-14T11:31:05+0000";"photo";"69";"114";"562";"544";"16";"2";"0";"0";"0";"🇲🇳🇲🇳🇲🇳"
"1";"166";"1";"210175192404846_642100386383444";"data";"fetched (200)";"2020-07-23 18:36:05.786496";"Facebook:/<page-id>/posts";"2020-06-14T10:41:26+0000";"video";"757";"948";"538";"507";"26";"3";"0";"0";"2";"АРДЧИЛСАН НАМЫН СОНГУУЛИЙН ТӨВ ШТАБААС БЭЛТГЭЖ БАЙГАА “ЭРХ ЧӨЛӨӨНИЙ МЭДЭЭ”  өдөр бүрийн 12:06 минут                            15:00 цаг                           19:00 цагаас сонгогч та хүлээн авч үзээрэй"
"1";"167";"1";"210175192404846_3032191743536496";"data";"fetched (200)";"2020-07-23 18:36:05.786496";"Facebook:/<page-id>/posts";"2020-06-14T09:44:15+0000";"video";"787";"1259";"881";"848";"26";"3";"1";"0";"3";"Мал аж ахуй салбарыг эдийн засгийн үр ашигтай, орчин үеийн шинэ технологи, инновацад суурилж, хөгжүүлэн мэдлэг бүхий малчдыг малчин бизнесмен болгох замаар тогтвортой орлого бүхий хүчтэй дундаж  давхаргыг тэлэх бодлого хэрэгжүүлнэ.  ЧИНЭЭЛЭГ МАЛЧИН ХӨТӨЛБӨР ХЭРЭГЖҮҮЛНЭ 🇲🇳🇲🇳🇲🇳"
"1";"168";"1";"210175192404846_3032126006876403";"data";"fetched (200)";"2020-07-23 18:36:05.786496";"Facebook:/<page-id>/posts";"2020-06-14T09:08:21+0000";"video";"399";"1185";"666";"642";"22";"0";"1";"0";"1";"АН-ын ЕНБД Ц.Баатархүү: Монгол улсын төрийн албан хаагч тогтвортой мэргэжлийн байх ёстой. АН төрийн тогтвортой байдалд гол анхаарлаа хандуулна"
"1";"169";"1";"210175192404846_3032086846880319";"data";"fetched (200)";"2020-07-23 18:36:05.786496";"Facebook:/<page-id>/posts";"2020-06-14T08:47:45+0000";"photo";"415";"1321";"988";"935";"48";"3";"1";"0";"1";"ӨСӨЛТИЙГ ДЭМЖСЭН_ХӨГЖЛИЙН БАГ 🇲🇳🇲🇳🇲🇳  ӨСӨЛТИЙГ ӨРХ БҮРД ХҮРГЭНЭ 👏👏👏"
"1";"170";"1";"210175192404846_3031949990227338";"data";"fetched (200)";"2020-07-23 18:36:05.786496";"Facebook:/<page-id>/posts";"2020-06-14T07:39:03+0000";"video";"438";"967";"645";"615";"26";"0";"0";"0";"4";"""ӨСӨЛТИЙН ТУХАЙ ЯРЪЯ"" ПОДКАСТ: АРДЧИЛСАН НАМЫН ДЭД ДАРГА Б.ЖАРГАЛАН"
"1";"171";"1";"210175192404846_3031845236904480";"data";"fetched (200)";"2020-07-23 18:36:05.786496";"Facebook:/<page-id>/posts";"2020-06-14T06:37:12+0000";"video";"567";"2144";"539";"507";"27";"1";"0";"0";"4";"ДАХИН ТӨЛӨВЛӨЛТ✅✅✅  • Иргэд өөрийн өмчилж авсан хашааны газар дээр айл, хөрш, гудамжаараа нэгдэн төлөвлөлт хийж, инженерийн дэд бүтцэд бүрэн холбогдсон, амины орон сууц болгон дахин төлөвлөх ажлыг иргэдийн оролцоотой хэрэгжүүлж, амьдран суух байшингаа барихад нь урт хугацаатай, хүү багатай, орон сууцны ипотекийн зээлээр санхүүгийн дэмжлэг үзүүлж ажиллана.   • Гэр хорооллын дахин төлөвлөлтөөс чөлөөлөгдсөн газар дээр иргэдийн амралт чөлөөт цагаа өнгөрүүлэх, эрүүл амьдрах нөхцөлийг бүрдүүлэх зорилгоор цэцэрлэгт хүрээлэнгүүдийг байгуулна. • Гэр хорооллыг инженерийн дэд бүтэц /цэвэр ус, бохир ус ариутгах татуурга, интернэт шилэн кабель/-д холбож, халаалтыг төвлөрсөн болон сэргээгдэх эрчим хүчний эх үүсвэртэй амины орон сууц болгон дахин төлөвлөх ажлыг иргэдийн оролцоотой хэрэгжүүлж, амьдран суух байшингаа барихад нь урт хугацаатай, хүү багатай, орон сууцны ипотекийн зээлээр санхүүгийн дэмжлэг үзүүлж ажиллана.  Хүн бүрд ОРЛОГО ✅ Өрх бүрд ӨСӨЛТ   ✅ #Монгол_өрх_хөгжлийн_бодлого_мөрийн_хөтөлбөрөөс🇲🇳🇲🇳🇲🇳"
"1";"172";"1";"210175192404846_3031805200241817";"data";"fetched (200)";"2020-07-23 18:36:05.786496";"Facebook:/<page-id>/posts";"2020-06-14T06:15:49+0000";"video";"607";"1013";"660";"623";"33";"1";"1";"0";"2";"- Сургууль, цэцэрлэг, дотуур байр, спорт заал, бассейн, хүүхдийн хөгжлийн төвийн барилга байгууламжид тавигдах нэгдсэн стандарт шаардлагыг шинэчлэн тогтоож, мөрдүүлнэ. Барилга байгууламж бүхэнд тусгай хэрэгцээт иргэдэд зориулсан зам, шат бүхий хэрэгсэл суулгана.  - Сургууль, цэцэрлэг, дотуур байр, спорт заал, бассейн, хүүхдийн хөгжлийн төвийн барилга байгууламжид тавигдах нэгдсэн стандарт шаардлагыг шинэчлэн тогтоож, мөрдүүлнэ. Барилга байгууламж бүхэнд тусгай хэрэгцээт иргэдэд зориулсан зам, шат бүхий хэрэгсэл суулгана.  Хүн бүрд ОРЛОГО ✅ Өрх бүрд ӨСӨЛТ   ✅  #Монгол_өрх_хөгжлийн_бодлого_мөрийн_хөтөлбөрөөс🇲🇳🇲🇳🇲🇳"
"1";"173";"1";"210175192404846_291914945553914";"data";"fetched (200)";"2020-07-23 18:36:05.786496";"Facebook:/<page-id>/posts";"2020-06-14T07:00:40+0000";"video";"397";"1027";"825";"791";"33";"0";"0";"0";"1";"АРДЧИЛСАН НАМЫН СОНГУУЛИЙН ТӨВ ШТАБААС БЭЛТГЭЖ БАЙГАА “ЭРХ ЧӨЛӨӨНИЙ МЭДЭЭ”  өдөр бүрийн 12:06 минут                            15:00 цаг                           19:00 цагаас сонгогч та хүлээн авч үзээрэй"
