"path";"id";"parent_id";"level";"object_id";"object_type";"query_status";"query_time";"query_type";"name";"message"
"120920014698353/120920014698353_1777529205704084/1777529205704084_1777576745699330";"172";"4";"2";"1777529205704084_1777576745699330";"data";"fetched (200)";"2020-07-13 15:48:32.531886";"Facebook:/<post-id>/comments";"";"Энхбаяр тэргүүтнүүд улс төрийн тавцангаас бүүүр зайл.Харин үймээн самуун дэгдээгээд ард энхийн цагаан тагтаа шиг үлдэв ээээээ"
"120920014698353/120920014698353_1777529205704084/1777529205704084_1777631035693901";"173";"4";"2";"1777529205704084_1777631035693901";"data";"fetched (200)";"2020-07-13 15:48:32.531886";"Facebook:/<post-id>/comments";"";"Маш зөв. Аймшигт мафи эх орны минь байгалийн баялагт шунаж банк санхүүгийн эрх мэдлийг гартаа оруулж төрийг хүчгүйдүүлэхийн тулд төрийн эсрэг цус асгаруулах бослого үймээн дэгдээхийг санаархаж байгаа тухай мэдээлэл гарч байна. Ард түмний сонголтыг тэд худалдаж авч чадаагүй болохоор  юу ч хийхээс буцахгүй болсон нь лавтай. Тэдний энэ өгөөшийг хэрхэвч үмхэж болохгүй. Бүгдээрээ сонор сэрэмжтэй байж сонголтоо хамгаалан төрөө хүндэлж төрийн шийдвэрээ тууштай дагацгаая."
"120920014698353/120920014698353_1777529205704084/1777529205704084_1777602239030114";"174";"4";"2";"1777529205704084_1777602239030114";"data";"fetched (200)";"2020-07-13 15:48:32.531886";"Facebook:/<post-id>/comments";"";"Өвөө эмээ аав ээжийн минь шүтэн дээдлэж ирсэн 100 н жилийн түүхтэй намаа дэмжсээр байх. Болно"
"120920014698353/120920014698353_1777529205704084/1777529205704084_1777582092365462";"175";"4";"2";"1777529205704084_1777582092365462";"data";"fetched (200)";"2020-07-13 15:48:32.531886";"Facebook:/<post-id>/comments";"";"Өвөө эмээгийн шүтэн дээдлэж ирсэн нам бид дэмжсээр байх болно."
"120920014698353/120920014698353_1777529205704084/1777529205704084_1777633469026991";"176";"4";"2";"1777529205704084_1777633469026991";"data";"fetched (200)";"2020-07-13 15:48:32.531886";"Facebook:/<post-id>/comments";"";"Ямарч зөрүүгүй. Цэвэр ялалт."
"120920014698353/120920014698353_1777529205704084/1777529205704084_1777626349027703";"177";"4";"2";"1777529205704084_1777626349027703";"data";"fetched (200)";"2020-07-13 15:48:32.531886";"Facebook:/<post-id>/comments";"";"Бидний сонголт !!! Еронхий сайдынхаа багийг дэмжиж амжилт хусье"
"120920014698353/120920014698353_1777529205704084/1777529205704084_1777577415699263";"178";"4";"2";"1777529205704084_1777577415699263";"data";"fetched (200)";"2020-07-13 15:48:32.531886";"Facebook:/<post-id>/comments";"";"МАНыг л дэмжинэ. Цаашдаа ч дэмжсээр байх болно"
"120920014698353/120920014698353_1777529205704084/1777529205704084_1777623165694688";"179";"4";"2";"1777529205704084_1777623165694688";"data";"fetched (200)";"2020-07-13 15:48:32.531886";"Facebook:/<post-id>/comments";"";"Өчнөөн арван жил төрийн эрх барилаа. ганц сайн үйлдвэр ганц сайн сургууль ч баричихгүй юмдаа. эрчим хүчээ хүртэл гаднаас авдагаасаа ичиж байна. 70 жилийн өмнө одоогийнхоос хамаагүй дээр улс шиг улс байж. Үнэхээр ард түмний сонголтоор гарсан бол итгэлийг нь бодож аятайхан үр дүнтэй бодитой зүйлүүд хийж хэрэгжүүлээрэй. Монголчууд бүгд тэнэг биш шүү. Амжилт!"
"120920014698353/120920014698353_1777529205704084/1777529205704084_1777624632361208";"180";"4";"2";"1777529205704084_1777624632361208";"data";"fetched (200)";"2020-07-13 15:48:32.531886";"Facebook:/<post-id>/comments";"";"зөв шүү би МАН саналаа өгсөэ"
"120920014698353/120920014698353_1777529205704084/1777529205704084_1777666875690317";"181";"4";"2";"1777529205704084_1777666875690317";"data";"fetched (200)";"2020-07-13 15:48:32.531886";"Facebook:/<post-id>/comments";"";"Худлаа хар хайрцагаар луйвардсан санал бол ард түмэний өгсөн санал биш шүү МАН цагтаа хар хайрцагыг эсэргүүцэж байсан одоо өөрсдөө хар хайрцагыг сонгууль будлиантуулж сурж үр ашгийг хүртэж байна"
"120920014698353/120920014698353_1777529205704084/1777529205704084_1777583015698703";"182";"4";"2";"1777529205704084_1777583015698703";"data";"fetched (200)";"2020-07-13 15:48:32.531886";"Facebook:/<post-id>/comments";"";"Монгол ардын намдаа амжилт хүсье    дэмжсээр байх болно"
"120920014698353/120920014698353_1777529205704084/1777529205704084_1777605739029764";"183";"4";"2";"1777529205704084_1777605739029764";"data";"fetched (200)";"2020-07-13 15:48:32.531886";"Facebook:/<post-id>/comments";"";"Ene erguu demjeed bga humus heden togrog avad troll bolod yavhasa ichech demjed ta hed haa hurhevdee hiisen hereg ni il boloh gd medegdel ntr asudalgui gdg ni batlagdsan gj hudla gargad"
"120920014698353/120920014698353_1777529205704084/1777529205704084_1777648535692151";"184";"4";"2";"1777529205704084_1777648535692151";"data";"fetched (200)";"2020-07-13 15:48:32.531886";"Facebook:/<post-id>/comments";"";"Хяналтын тооллого нь луйвар хийгээгүй байгааг нотлоод тоо нь мөргөлөө гээд байхад л луйвар гээд зүтгээд байхий яавал ойлгох юм болоо"
"120920014698353/120920014698353_1777529205704084/1777529205704084_1777580755698929";"185";"4";"2";"1777529205704084_1777580755698929";"data";"fetched (200)";"2020-07-13 15:48:32.531886";"Facebook:/<post-id>/comments";"";"Bid MAN- aa bagaar n demjcen  hiicen ajiltai dahin ihiig hiih bolno  hamtdaa uragshaa shuu  Harin tur uimuulcen nuhudud conguuliin huuliih daguu hariusflaga toosf ard tumnii ner bariad  ectoi aimaar bailaa   Aimaar  "
"120920014698353/120920014698353_1777529205704084/1777529205704084_1777624909027847";"186";"4";"2";"1777529205704084_1777624909027847";"data";"fetched (200)";"2020-07-13 15:48:32.531886";"Facebook:/<post-id>/comments";"";"Ард  түмэн  сонголтоо  зөв хийсэн.  Амжилт  МАН."
"120920014698353/120920014698353_1777529205704084/1777529205704084_1777599405697064";"187";"4";"2";"1777529205704084_1777599405697064";"data";"fetched (200)";"2020-07-13 15:48:32.531886";"Facebook:/<post-id>/comments";"";"Хурдан ажилд нь оруулья"
"120920014698353/120920014698353_1777529205704084/1777529205704084_1777716685685336";"188";"4";"2";"1777529205704084_1777716685685336";"data";"fetched (200)";"2020-07-13 15:48:32.531886";"Facebook:/<post-id>/comments";"";"Хийх ёстой ажил их байгаа тийм хүмүүсээс болж цаг хугацаа алдаж болохгүй! Ард түмэн хүчээ нэгтгэж сонголтоо хийсэн✊🏻"
"120920014698353/120920014698353_1777529205704084/1777529205704084_1777711535685851";"189";"4";"2";"1777529205704084_1777711535685851";"data";"fetched (200)";"2020-07-13 15:48:32.531886";"Facebook:/<post-id>/comments";"";"МАН ыг тэр дундаа ХҮРЭЛСҮХИЙН БАГИЙГ ДЭМЖСЭН .Цаашдын ажилд нь амжилт хүсье  .АНХДУГААР ЧУУЛГАНЫГ ХУРДАН ХУРАЛДУУЛЬЯ .Ард түмэн мэргэн сонголт хийсэн ЁРӨНХИЙЛӨГЧӨӨ АРД ТҮМНИЙХЭЭ СОНГОЛТЫГ ХҮЛЭЭН АВЧ ХҮНДЭТГЭЭЧ."
"120920014698353/120920014698353_1777529205704084/1777529205704084_1777739342349737";"190";"4";"2";"1777529205704084_1777739342349737";"data";"fetched (200)";"2020-07-13 15:48:32.531886";"Facebook:/<post-id>/comments";"";"Ард түмний сонголт мэргэн мэдрэг оновчтой мундаг байлаа"
"120920014698353/120920014698353_1777529205704084/1777529205704084_1777624212361250";"191";"4";"2";"1777529205704084_1777624212361250";"data";"fetched (200)";"2020-07-13 15:48:32.531886";"Facebook:/<post-id>/comments";"";"Бид сонголтоо хийсэн одоо ажиллах нь чухад"
"120920014698353/120920014698353_1777529205704084/1777529205704084_1777643439025994";"192";"4";"2";"1777529205704084_1777643439025994";"data";"fetched (200)";"2020-07-13 15:48:32.531886";"Facebook:/<post-id>/comments";"";"Ман яаж хүчээ нэгтэгдгээ харуулж чадлаа.Монголчууд ямар хүчин мөхөс гэдгээ харамсаад баршгүй нь дээ"
"120920014698353/120920014698353_1777529205704084/1777529205704084_1778487045608300";"193";"4";"2";"1777529205704084_1778487045608300";"data";"fetched (200)";"2020-07-13 15:48:32.531886";"Facebook:/<post-id>/comments";"";"Худал хуурмагтай дахиад хүчээр эвлэрч суух 4 жил.Аргагүй л цөвүүн цаг юм.Энэ  олон толгой нь эргэж тархи нь угаагдсан хүмүүсийг бодохоор"
"120920014698353/120920014698353_1777529205704084/1777529205704084_1778086718981666";"194";"4";"2";"1777529205704084_1778086718981666";"data";"fetched (200)";"2020-07-13 15:48:32.531886";"Facebook:/<post-id>/comments";"";"Аль дээр үеийн сайхан нийгэм байгуулсан нэр хүндийг одоо үеийн хулгайч луйварчидтай яаж зүйрлэж болох вэ дэ. Үнэхээр тийм шудрага л байсан юм бол тэр Хүрэлсүх чинь.. Монгол улсад харш #Ураныг_яагаад_мэдсээр_байж_мэдээгүй_царайлана_вэ?  Шудрага гишүүдээ УИХ-д илгээнэ гэчихээд юун Сумъяабузар Оюунчимэг Чойжилсүрэн гэх мэт лаларуудаа УИХ - д нэр дэвшүүлэв... #Бодох_л_асуудал_шүү"
"120920014698353/120920014698353_1777529205704084/120920014698353_1777529205704084";"195";"4";"2";"120920014698353_1777529205704084";"offcut";"fetched (200)";"2020-07-13 15:48:32.531886";"Facebook:/<post-id>/comments";"";""
